id;pred;true;latency_ms;cpu_percent;mem_percent;accuracy_cumulative;timestamp;;;;Lat media;CPU % media;Mem % media
;normal;normal;115,2219772;30,2;81;0,403824522;1758190835;;;;;;
;normal;normal;122,1249104;32,1;81;0,404494382;1758190836;;;;;;
;imminent failure;normal;132,9441071;41,4;81,2;0,404040404;1758190837;;;;;;
;early;suspect;98,28686714;32,5;81,1;0,403587444;1758190838;;;;;;
;imminent failure;imminent failure;120,7301617;29,1;81,5;0,404255319;1758190839;;;;;;
;imminent failure;imminent failure;134,2520714;28,5;81;0,4049217;1758190840;;;;;;
;stage 2 failure;inner race failure;125,6048679;29;81;0,404469274;1758190841;;;;;;
;imminent failure;stage 2 failure;107,5131893;40;81,1;0,404017857;1758190842;;;;;;
;early;early;121,9158173;29,9;80,9;0,404682274;1758190843;;;;;;
;early;early;97,15604782;35,1;81,7;0,405345212;1758190844;;;;;;
;early;early;124,3219376;33,4;81,8;0,406006674;1758190845;;;;;;
;early;early;131,0460567;38,6;81,2;0,406666667;1758190846;;;;;;
;normal;suspect;126,8918514;35;81,9;0,406215316;1758190848;;;;;;
;normal;early;123,054266;38,9;81,9;0,405764967;1758190849;;;;;;
;early;early;114,2528057;31,9;81,7;0,406423034;1758190850;;;;;;
;early;normal;125,743866;32,8;81,7;0,405973451;1758190851;;;;;;
;normal;normal;120,1682091;33,3;81,4;0,406629834;1758190852;;;;;;
;normal;normal;131,0679913;50,9;81,8;0,407284768;1758190853;;;;;;
;stage 2 failure;normal;135,1907253;44,5;81,5;0,406835722;1758190854;;;;;;
;early;suspect;133,8741779;38,8;81,9;0,406387665;1758190855;;;;;;
;suspect;suspect;114,5732403;41,7;81,8;0,407040704;1758190856;;;;;;
;normal;early;100,1331806;30,2;81,7;0,406593407;1758190857;;;;;;
;early;early;130,5677891;38,3;81,5;0,407244786;1758190858;;;;;;
;early;normal;130,1689148;32,4;81,5;0,406798246;1758190859;;;;;;
;normal;normal;108,8349819;32,4;81,5;0,407447974;1758190860;;;;;;
;normal;normal;105,3380966;36,2;81,3;0,40809628;1758190861;;;;;;
;suspect;normal;104,1021347;36,6;80,9;0,407650273;1758190862;;;;;;
;early;normal;106,7910194;36,5;80,9;0,40720524;1758190863;;;;;;
;normal;suspect;141,824007;32,4;81,4;0,406761178;1758190864;;;;;;
;normal;early;122,3781109;32,2;81,1;0,406318083;1758190865;;;;;;
;stage 2 failure;early;126,2726784;34,5;81,5;0,405875952;1758190866;;;;;;
;early;normal;131,6740513;34,9;81,6;0,405434783;1758190867;;;;;;
;normal;suspect;114,8910522;45,1;81,6;0,404994571;1758190868;;;;;;
;normal;normal;129,6200752;35,1;80,4;0,405639913;1758190869;;;;;;
;imminent failure;normal;99,33996201;43,8;80;0,405200433;1758190870;;;;;;
;suspect;rolling element failure;133,2390308;38,8;80;0,404761905;1758190871;;;;;;
;imminent failure;suspect;129,2669773;36,5;80;0,404324324;1758190872;;;;;;
;normal;normal;143,5480118;33,5;79,9;0,404967603;1758190873;;;;;;
;early;normal;144,9711323;31;80,5;0,404530744;1758190874;;;;;;
;early;normal;125,8649826;33,3;80,7;0,404094828;1758190875;;;;;;
;normal;suspect;125,015974;38,7;80,8;0,403659849;1758190876;;;;;;
;normal;early;117,7861691;31,1;80,5;0,403225806;1758190878;;;;;;
;early;early;97,82218933;37,4;80,1;0,40386681;1758190879;;;;;;
;early;normal;137,3472214;31,8;80,6;0,403433476;1758190880;;;;;;
;normal;normal;133,4991455;37,2;80,4;0,404072883;1758190881;;;;;;
;normal;normal;134,7820759;32,1;80,4;0,404710921;1758190882;;;;;;
;imminent failure;normal;112,9391193;52,6;80,6;0,404278075;1758190883;;;;;;
;early;suspect;96,99416161;45;80,2;0,403846154;1758190884;;;;;;
;normal;normal;132,7540874;35,7;80,4;0,404482391;1758190885;;;;;;
;normal;normal;114,6519184;54,7;81,4;0,405117271;1758190886;;;;;;
;early;normal;135,0240707;50,3;82,2;0,404685836;1758190887;;;;;;
;early;normal;130,0091743;35,9;80,7;0,404255319;1758190888;;;;;;
;normal;normal;131,4189434;35,5;80,6;0,404888417;1758190889;;;;;;
;normal;normal;110,9471321;32,8;81;0,40552017;1758190890;;;;;;
;imminent failure;normal;127,2799969;30,9;81;0,405090138;1758190891;;;;;;
;early;suspect;125,3511906;37,9;81,1;0,404661017;1758190892;;;;;;
;normal;suspect;130,4891109;30,9;80,7;0,404232804;1758190893;;;;;;
;normal;normal;116,7838573;35;80,3;0,404862579;1758190894;;;;;;
;early;normal;143,8279152;34,8;80,3;0,404435058;1758190895;;;;;;
;early;rolling element failure;114,4292355;34,2;81,1;0,404008439;1758190896;;;;;;
;normal;suspect;132,7490807;31,5;81,1;0,403582719;1758190897;;;;;;
;normal;early;123,4030724;49,9;80,6;0,403157895;1758190898;;;;;;
;imminent failure;early;118,1302071;31,5;80,6;0,402733964;1758190899;;;;;;
;early;normal;109,749794;39,7;81,1;0,402310924;1758190900;;;;;;
;normal;normal;136,895895;39,8;81,3;0,40293809;1758190901;;;;;;
;normal;normal;104,5572758;31,8;81,3;0,403563941;1758190902;;;;;;
;imminent failure;normal;124,1562366;37;81,1;0,403141361;1758190903;;;;;;
;early;normal;108,1380844;32,1;80,7;0,402719665;1758190904;;;;;;
;normal;suspect;125,7379055;31,4;80,7;0,402298851;1758190905;;;;;;
;normal;normal;113,3420467;27,3;80,8;0,402922756;1758190906;;;;;;
;imminent failure;normal;138,2620335;35,6;80,7;0,402502607;1758190907;;;;;;
;early;normal;96,5089798;37,2;75,6;0,402083333;1758190908;;;;;;
;normal;normal;117,6700592;31,9;75,9;0,402705515;1758190909;;;;;;
;normal;normal;121,7551231;35,2;74,3;0,403326403;1758190910;;;;;;
;early;normal;106,5778732;29,9;74,7;0,40290758;1758190911;;;;;;
;early;rolling element failure;130,8670044;34,3;76,6;0,402489627;1758190912;;;;;;
;normal;suspect;107,708931;40,6;77,8;0,402072539;1758190913;;;;;;
;normal;normal;111,0370159;30,3;79,1;0,402691511;1758190914;;;;;;
;stage 2 failure;suspect;130,436182;31,6;80,3;0,402275078;1758190915;;;;;;
;stage 2 failure;stage 2 failure;125,2641678;33,1;80,7;0,402892562;1758190916;;;;;;
;early;early;119,1871166;34,8;80,8;0,403508772;1758190917;;;;;;
;early;early;99,53403473;30,7;80,9;0,404123711;1758190918;;;;;;
;early;early;120,9950447;33,1;81,1;0,404737384;1758190919;;;;;;
;suspect;early;144,6900368;44,1;81,8;0,404320988;1758190920;;;;;;
;early;early;135,0252628;33,8;81,2;0,404933196;1758190921;;;;;;
;early;early;146,1379528;27,6;81;0,405544148;1758190922;;;;;;
;early;early;107,8009605;34,4;81;0,406153846;1758190923;;;;;;
;early;early;110,6848717;31,8;81,6;0,406762295;1758190924;;;;;;
;normal;suspect;154,5631886;32,6;82;0,406345957;1758190926;;;;;;
;normal;normal;165,0321484;31,7;81,1;0,406952965;1758190927;;;;;;
;imminent failure;normal;118,347168;39,5;81,6;0,406537283;1758190928;;;;;;
;rolling element failure;rolling element failure;96,86112404;41,8;81,5;0,407142857;1758190929;;;;;;
;normal;suspect;101,7830372;32,4;80,9;0,406727829;1758190930;;;;;;
;normal;early;127,7770996;35,1;80,9;0,406313646;1758190931;;;;;;
;stage 2 failure;early;108,0901623;32,1;81,2;0,405900305;1758190932;;;;;;
;early;normal;122,3721504;37;81,5;0,405487805;1758190933;;;;;;
;normal;suspect;107,7649593;30,6;81,5;0,405076142;1758190934;;;;;;
;normal;early;106,1639786;33,5;80,9;0,404665314;1758190935;;;;;;
;imminent failure;early;143,5201168;31,1;80,7;0,404255319;1758190936;;;;;;
;early;early;117,5608635;37,9;80,8;0,4048583;1758190937;;;;;;
;normal;normal;97,42689133;32,6;80,8;0,405460061;1758190938;;;;;;
;normal;normal;119,972229;36,9;80,7;0,406060606;1758190939;;;;;;
;imminent failure;normal;130,0048828;32,2;80,7;0,405650858;1758190940;;;;;;
;early;normal;99,47109222;34,5;81,7;0,405241935;1758190941;;;;;;
;normal;normal;132,8217983;31,7;81,4;0,405840886;1758190942;;;;;;
;normal;normal;112,0419502;50;81;0,406438632;1758190943;;;;;;
;imminent failure;normal;109,0021133;33,3;81,3;0,406030151;1758190944;;;;;;
;early;suspect;111,8092537;30,6;81,4;0,40562249;1758190945;;;;;;
;normal;normal;118,7927723;35,9;80,9;0,406218656;1758190946;;;;;;
;normal;normal;113,3460999;30,3;81,3;0,406813627;1758190947;;;;;;
;imminent failure;normal;100,6247997;35,3;81;0,406406406;1758190948;;;;;;
;early;normal;115,442276;33;81,8;0,406;1758190949;;;;;;
;normal;normal;108,6668968;36,7;82;0,406593407;1758190950;;;;;;
;normal;normal;101,8922329;34,8;81,9;0,407185629;1758190951;;;;;;
;stage 2 failure;normal;104,4211388;37,8;81,1;0,406779661;1758190952;;;;;;
;early;rolling element failure;121,6020584;36,5;81,1;0,406374502;1758190953;;;;;;
;normal;suspect;122,0781803;35,3;81;0,405970149;1758190954;;;;;;
;normal;normal;119,6579933;33;81;0,406560636;1758190955;;;;;;
;imminent failure;normal;136,1789703;31,9;81;0,406156902;1758190956;;;;;;
;stage 2 failure;rolling element failure;142,5170898;31,7;81;0,405753968;1758190957;;;;;;
;normal;suspect;133,5759163;44,3;81;0,405351833;1758190958;;;;;;
;normal;normal;117,3551083;41;80,5;0,405940594;1758190959;;;;;;
;imminent failure;suspect;97,04709053;41,4;81;0,40553907;1758190960;;;;;;
;stage 2 failure;rolling element failure;123,3510971;49,2;81,5;0,40513834;1758190961;;;;;;
;normal;normal;111,4449501;35,8;81,6;0,405725568;1758190962;;;;;;
;normal;normal;137,7499104;36,5;81,1;0,406311637;1758190963;;;;;;
;imminent failure;normal;121,4027405;33,9;81,1;0,40591133;1758190964;;;;;;
;early;suspect;134,292841;34,1;81,3;0,405511811;1758190965;;;;;;
;normal;suspect;114,6819592;38,4;80,9;0,405113078;1758190966;;;;;;
;normal;normal;116,1179543;35,7;81,6;0,405697446;1758190967;;;;;;
;early;normal;128,7157536;41,9;81,3;0,405299313;1758190968;;;;;;
;early;normal;132,5769424;33,8;81,2;0,404901961;1758190969;;;;;;
;normal;suspect;133,5501671;33,7;81,2;0,404505387;1758190971;;;;;;
;normal;normal;134,9499226;38,3;81,2;0,405088063;1758190972;;;;;;
;stage 2 failure;suspect;142,6680088;33,2;81,4;0,404692082;1758190973;;;;;;
;stage 2 failure;stage 2 failure;101,878643;52,4;81,7;0,405273438;1758190974;;;;;;
;normal;suspect;131,5600872;34,2;81;0,404878049;1758190975;;;;;;
;normal;early;132,2910786;35,1;81,1;0,404483431;1758190976;;;;;;
;imminent failure;early;100,1121998;34,2;81;0,404089581;1758190977;;;;;;
;early;normal;134,1371536;36,8;81,2;0,403696498;1758190978;;;;;;
;early;early;115,4141426;30,6;81;0,404275996;1758190979;;;;;;
;early;early;124,4642735;33,5;81,2;0,404854369;1758190980;;;;;;
;early;early;130,2702427;38,3;81,6;0,40543162;1758190981;;;;;;
;early;early;108,20508;40,5;81,6;0,406007752;1758190982;;;;;;
;normal;normal;111,4561558;32,4;81,3;0,406582769;1758190983;;;;;;
;normal;normal;133,0242157;38,3;81,5;0,407156673;1758190984;;;;;;
;imminent failure;normal;109,5898151;34,4;81,6;0,406763285;1758190985;;;;;;
;early;suspect;149,8329639;36,8;81,7;0,406370656;1758190986;;;;;;
;normal;normal;117,3701286;35,5;81,9;0,406943105;1758190987;;;;;;
;normal;normal;105,9830189;41,3;81,7;0,407514451;1758190988;;;;;;
;early;normal;100,8388996;33,1;81,6;0,407122233;1758190989;;;;;;
;early;normal;103,9521694;25,3;81,2;0,406730769;1758190990;;;;;;
;normal;suspect;126,6281605;63,3;80,7;0,406340058;1758190991;;;;;;
;normal;normal;102,9031277;47,8;80,6;0,406909789;1758190992;;;;;;
;stage 2 failure;normal;98,05893898;35,8;80,4;0,406519655;1758190993;;;;;;
;stage 2 failure;rolling element failure;132,7059269;31;80,7;0,406130268;1758190994;;;;;;
;normal;normal;131,3259602;30,9;80,9;0,406698565;1758190995;;;;;;
;normal;normal;128,3531189;34,7;81,4;0,407265774;1758190996;;;;;;
;imminent failure;normal;138,5552883;36,8;81,2;0,406876791;1758190997;;;;;;
;early;suspect;118,3171272;36,6;81,2;0,40648855;1758190998;;;;;;
;normal;normal;128,2970905;34,1;81,2;0,407054337;1758190999;;;;;;
;normal;normal;106,0941219;36,1;81,4;0,407619048;1758191000;;;;;;
;early;normal;136,9769573;29,9;81,2;0,407231208;1758191001;;;;;;
;early;suspect;126,7821789;34,9;80,9;0,406844106;1758191002;;;;;;
;early;early;124,2539883;52,5;81,1;0,407407407;1758191003;;;;;;
;early;early;121,327877;43;80,9;0,407969639;1758191004;;;;;;
;early;early;111,6197109;34,5;81,2;0,408530806;1758191005;;;;;;
;early;early;124,1128445;37,3;81,2;0,409090909;1758191006;;;;;;
;normal;normal;122,7612495;40,6;81,7;0,409649953;1758191007;;;;;;
;normal;normal;145,2343464;43,4;81,9;0,41020794;1758191008;;;;;;
;early;normal;153,7668705;43;80,7;0,409820585;1758191009;;;;;;
;early;suspect;120,3370094;43,3;80,4;0,409433962;1758191010;;;;;;
;normal;suspect;117,2208786;44,2;80,5;0,409048068;1758191011;;;;;;
;normal;normal;151,2362957;39,2;80,6;0,40960452;1758191012;;;;;;
;imminent failure;normal;119,7860241;43,2;80,8;0,409219191;1758191013;;;;;;
;early;normal;128,9789677;34,2;80,3;0,408834586;1758191014;;;;;;
;normal;normal;138,4270191;35,6;80,4;0,409389671;1758191016;;;;;;
;normal;normal;145,0850964;36,5;80,6;0,409943715;1758191017;;;;;;
;early;normal;123,1949329;32,3;80,6;0,409559513;1758191018;;;;;;
;early;normal;121,0098267;44;80,5;0,40917603;1758191019;;;;;;
;normal;suspect;105,9248447;31,5;80,3;0,408793265;1758191020;;;;;;
;normal;early;117,2828674;44,2;80,2;0,408411215;1758191021;;;;;;
;early;early;113,4431362;32,7;80,1;0,408963585;1758191022;;;;;;
;early;early;128,1678677;38,9;80,2;0,409514925;1758191023;;;;;;
;normal;suspect;122,8301525;29,1;80,2;0,409133271;1758191024;;;;;;
;normal;normal;117,2759533;32,5;80,4;0,409683426;1758191025;;;;;;
;suspect;suspect;127,4869442;34,8;80,8;0,410232558;1758191026;;;;;;
;imminent failure;rolling element failure;100,7988453;47,1;80,8;0,409851301;1758191027;;;;;;
;normal;normal;136,5220547;34,3;80,8;0,410399257;1758191028;;;;;;
;normal;normal;121,5782166;43,9;80,8;0,410946197;1758191029;;;;;;
;suspect;normal;129,4648647;34;80,8;0,410565338;1758191030;;;;;;
;early;suspect;136,2850666;33,8;80,7;0,410185185;1758191031;;;;;;
;normal;suspect;112,5266552;32,8;80,6;0,409805735;1758191032;;;;;;
;normal;normal;100,769043;37,5;80,6;0,410351201;1758191033;;;;;;
;imminent failure;suspect;135,3170872;53;80,2;0,409972299;1758191034;;;;;;
;imminent failure;stage 2 failure;115,8511639;27,3;80,2;0,409594096;1758191035;;;;;;
;normal;normal;128,177166;31,8;80,2;0,410138249;1758191036;;;;;;
;normal;normal;120,7690239;31,4;80,2;0,4106814;1758191037;;;;;;
;stage 2 failure;normal;105,0779819;35,7;80,3;0,410303588;1758191038;;;;;;
;early;normal;128,3891201;31,7;80,3;0,409926471;1758191039;;;;;;
;normal;suspect;139,4512653;33,8;80,3;0,409550046;1758191040;;;;;;
;normal;suspect;117,0890331;35,6;80,2;0,409174312;1758191041;;;;;;
;inner race failure;suspect;136,8420124;35,4;80,1;0,408799267;1758191042;;;;;;
;imminent failure;stage 2 failure;115,1599884;36,7;80,2;0,408424908;1758191043;;;;;;
;normal;suspect;109,5962524;37;80,2;0,408051235;1758191044;;;;;;
;normal;normal;136,9469166;30,9;80,2;0,408592322;1758191045;;;;;;
;early;normal;121,2899685;30,3;80,2;0,408219178;1758191046;;;;;;
;early;normal;137,319088;31,1;80,4;0,407846715;1758191047;;;;;;
;imminent failure;imminent failure;94,64597702;45,1;80,4;0,408386509;1758191048;;;;;;
;imminent failure;imminent failure;110,7149124;30,1;80,2;0,408925319;1758191049;;;;;;
;inner race failure;inner race failure;98,30021858;38,8;80,1;0,409463148;1758191050;;;;;;
;imminent failure;stage 2 failure;155,2391052;43,7;80,2;0,409090909;1758191051;;;;;;
;early;early;120,0428009;35,7;80,1;0,409627611;1758191052;;;;;;
;early;early;134,8319054;36,2;80,2;0,410163339;1758191053;;;;;;
;early;early;150,6769657;32,1;80,1;0,410698096;1758191054;;;;;;
;early;early;114,9702072;31,5;80,2;0,411231884;1758191055;;;;;;
;normal;normal;93,83177757;37,6;80,2;0,411764706;1758191056;;;;;;
;normal;normal;123,9821911;35,1;80,3;0,412296564;1758191057;;;;;;
;stage 2 failure;normal;102,232933;37,4;80,3;0,411924119;1758191058;;;;;;
;early;suspect;110,2728844;35,3;80,2;0,411552347;1758191059;;;;;;
;normal;suspect;135,0998878;38;80,1;0,411181244;1758191061;;;;;;
;normal;normal;150,7918835;34,4;80,1;0,411711712;1758191062;;;;;;
;imminent failure;normal;98,32406044;33,7;80;0,411341134;1758191063;;;;;;
;early;rolling element failure;118,7257767;43,6;80,3;0,410971223;1758191064;;;;;;
;normal;normal;103,6608219;31,3;80,3;0,411500449;1758191065;;;;;;
;normal;normal;104,4178009;34,9;80,4;0,412028725;1758191066;;;;;;
;imminent failure;normal;125,4529953;32,4;80,2;0,411659193;1758191067;;;;;;
;early;normal;129,8921108;39,7;80,2;0,411290323;1758191068;;;;;;
;normal;suspect;127,2211075;30,3;80;0,410922113;1758191069;;;;;;
;normal;normal;94,17414665;30,3;80,9;0,411449016;1758191070;;;;;;
;imminent failure;suspect;111,6952896;34,3;81,3;0,411081323;1758191071;;;;;;
;imminent failure;stage 2 failure;119,412899;47,2;81,6;0,410714286;1758191072;;;;;;
;normal;suspect;131,824255;36;81,4;0,410347904;1758191073;;;;;;
;normal;early;117,6438332;41,9;81;0,409982175;1758191074;;;;;;
;early;early;140,6860352;37,5;81;0,410507569;1758191075;;;;;;
;early;normal;129,5208931;36,1;81;0,410142349;1758191076;;;;;;
;normal;suspect;144,6218491;34,8;81;0,409777778;1758191077;;;;;;
;normal;normal;149,5771408;35,3;80,4;0,410301954;1758191078;;;;;;
;imminent failure;suspect;124,1810322;51,1;79,1;0,409937888;1758191079;;;;;;
;imminent failure;rolling element failure;96,83823586;36,9;80,6;0,409574468;1758191080;;;;;;
;early;early;123,2230663;44,6;81;0,410097431;1758191081;;;;;;
;early;early;133,2371235;40,2;81;0,410619469;1758191082;;;;;;
;early;early;124,3538857;37,5;80,9;0,411140584;1758191083;;;;;;
;early;early;139,4870281;40,3;81,2;0,411660777;1758191084;;;;;;
;imminent failure;imminent failure;132,9510212;31,7;80,9;0,412180053;1758191085;;;;;;
;imminent failure;imminent failure;124,8278618;37,6;81,5;0,412698413;1758191086;;;;;;
;imminent failure;inner race failure;93,77002716;41,9;81,2;0,412334802;1758191087;;;;;;
;imminent failure;stage 2 failure;95,78585625;51,2;80,9;0,411971831;1758191088;;;;;;
;early;early;112,6840115;41,7;80,9;0,412489006;1758191089;;;;;;
;early;early;144,2689896;42;80,8;0,413005272;1758191090;;;;;;
;early;early;134,8872185;36,4;81;0,413520632;1758191091;;;;;;
;early;early;140,6750679;35,2;80,6;0,414035088;1758191092;;;;;;
;normal;normal;107,077837;45;80,7;0,414548642;1758191093;;;;;;
;normal;normal;121,2432384;31,4;80,6;0,415061296;1758191094;;;;;;
;imminent failure;normal;120,1171875;32,4;80,6;0,414698163;1758191095;;;;;;
;early;suspect;106,8282127;43,7;80,3;0,414335664;1758191096;;;;;;
;normal;suspect;109,3170643;51,5;79,9;0,413973799;1758191097;;;;;;
;normal;normal;123,8770485;39,2;80,8;0,414485166;1758191098;;;;;;
;early;normal;104,2029858;48,9;80,8;0,414123801;1758191099;;;;;;
;early;normal;132,2188377;35;81,1;0,413763066;1758191100;;;;;;
;normal;suspect;110,6309891;34,4;81,2;0,413402959;1758191101;;;;;;
;normal;suspect;126,969099;48,9;82;0,413043478;1758191102;;;;;;
;inner race failure;suspect;93,57500076;55,5;80,2;0,412684622;1758191103;;;;;;
;imminent failure;stage 2 failure;113,5880947;33,1;80,3;0,412326389;1758191104;;;;;;
;normal;normal;132,4179173;34,2;80,2;0,41283608;1758191105;;;;;;
;normal;normal;125,043869;33,1;79,9;0,413344887;1758191106;;;;;;
;stage 2 failure;normal;115,5099869;32,7;80;0,412987013;1758191107;;;;;;
;early;suspect;106,3318253;33,9;80,1;0,412629758;1758191108;;;;;;
;normal;suspect;128,3490658;39,5;80,3;0,41227312;1758191110;;;;;;
;normal;normal;96,5180397;59,7;80,6;0,412780656;1758191110;;;;;;
;imminent failure;normal;149,3580341;45,9;81;0,412424504;1758191112;;;;;;
;rolling element failure;rolling element failure;111,1848354;60,9;81,1;0,412931034;1758191113;;;;;;
;normal;suspect;109,9557877;57,8;80,9;0,412575366;1758191114;;;;;;
;normal;early;108,0918312;58,2;80,8;0,41222031;1758191115;;;;;;
;stage 2 failure;early;132,735014;35,8;81;0,411865864;1758191116;;;;;;
;early;normal;99,46799278;39,2;80,7;0,411512027;1758191117;;;;;;
;normal;normal;129,832983;31,4;80,7;0,412017167;1758191118;;;;;;
;normal;normal;97,72491455;39,7;80,7;0,412521441;1758191119;;;;;;
;imminent failure;normal;133,0971718;33,5;80,9;0,412167952;1758191120;;;;;;
;early;normal;121,3080883;34,8;80,9;0,411815068;1758191121;;;;;;
;normal;suspect;131,6149235;36,9;81;0,411462789;1758191122;;;;;;
;normal;early;138,4298801;35;80,8;0,411111111;1758191123;;;;;;
;early;early;125,9932518;41,2;80,8;0,411614005;1758191124;;;;;;
;early;early;119,0488338;34,2;80,8;0,412116041;1758191125;;;;;;
;normal;normal;133,4998608;45,3;81,5;0,412617221;1758191126;;;;;;
;normal;normal;145,5779076;63,3;81,3;0,413117547;1758191127;;;;;;
;imminent failure;normal;116,6069508;59,2;80,7;0,412765957;1758191128;;;;;;
;early;suspect;106,2729359;52,6;80,8;0,412414966;1758191129;;;;;;
;early;early;100,7108688;39,6;80,7;0,412914189;1758191130;;;;;;
;early;early;114,7181988;32,8;80,7;0,413412564;1758191131;;;;;;
;early;early;96,75097466;37,9;80,6;0,413910093;1758191132;;;;;;
;early;early;118,8840866;36;80,5;0,41440678;1758191133;;;;;;
;normal;suspect;130,0299168;35,9;80,4;0,414055885;1758191134;;;;;;
;normal;early;105,8938503;31,7;80,5;0,413705584;1758191135;;;;;;
;stage 2 failure;early;119,6148396;31,8;80,8;0,413355875;1758191136;;;;;;
;early;normal;109,7500324;33,9;81;0,413006757;1758191137;;;;;;
;normal;normal;115,6899929;34;80,9;0,41350211;1758191138;;;;;;
;normal;normal;115,8361435;33,6;80,9;0,413996627;1758191139;;;;;;
;early;normal;123,2960224;30,9;80,8;0,413647852;1758191140;;;;;;
;early;suspect;122,4701405;40,9;80,9;0,413299663;1758191141;;;;;;
;normal;suspect;123,3661175;31,5;80,6;0,412952061;1758191142;;;;;;
;normal;normal;123,4338284;37,2;80,8;0,413445378;1758191143;;;;;;
;stage 2 failure;normal;101,9697189;35,1;80,9;0,413098237;1758191144;;;;;;
;stage 2 failure;rolling element failure;124,5770454;51,6;80,7;0,412751678;1758191145;;;;;;
;normal;normal;95,65711021;44,6;80,7;0,413243923;1758191146;;;;;;
;normal;normal;117,8231239;35,8;81;0,413735343;1758191147;;;;;;
;imminent failure;normal;107,5394154;43,6;81,4;0,413389121;1758191148;;;;;;
;early;suspect;137,2349262;36;81,3;0,413043478;1758191149;;;;;;
;normal;normal;136,1711025;34,1;81,3;0,413533835;1758191150;;;;;;
;normal;normal;122,0180988;33;81,3;0,414023372;1758191151;;;;;;
;early;normal;122,5481033;30,9;81,2;0,413678065;1758191152;;;;;;
;normal;suspect;130,0699711;36;82;0,413333333;1758191153;;;;;;
;early;early;102,7879715;40,8;82,1;0,413821815;1758191154;;;;;;
;early;early;115,6497002;41,9;82,1;0,414309484;1758191156;;;;;;
;early;early;103,8510799;41,8;82;0,414796342;1758191157;;;;;;
;early;early;137,3298168;36,5;81,9;0,415282392;1758191158;;;;;;
;early;early;116,6088581;48,2;82;0,415767635;1758191159;;;;;;
;early;early;120,1159954;36,6;82,3;0,416252073;1758191160;;;;;;
;early;early;99,02000427;33,8;82,4;0,416735708;1758191161;;;;;;
;early;early;134,1450214;38,6;79,7;0,417218543;1758191162;;;;;;
;normal;suspect;110,0921631;43,5;79,8;0,416873449;1758191163;;;;;;
;normal;suspect;118,060112;39,6;79,8;0,416528926;1758191164;;;;;;
;stage 2 failure;suspect;134,8547935;33,7;79,7;0,416184971;1758191165;;;;;;
;imminent failure;stage 2 failure;146,7311382;30,3;79,7;0,415841584;1758191166;;;;;;
;normal;suspect;141,8459415;31,1;79,7;0,415498763;1758191167;;;;;;
;normal;normal;144,1197395;36,8;79,6;0,415980231;1758191168;;;;;;
;imminent failure;normal;113,1849289;33,1;79,6;0,41563786;1758191169;;;;;;
;early;normal;117,5060272;32,8;79,6;0,415296053;1758191170;;;;;;
;normal;suspect;100,0640392;40,7;79,6;0,414954807;1758191171;;;;;;
;normal;suspect;140,2540207;31,9;79,5;0,414614122;1758191172;;;;;;
;stage 2 failure;suspect;123,5668659;36,9;79,4;0,414273995;1758191173;;;;;;
;imminent failure;stage 2 failure;132,7023506;49,3;79,5;0,413934426;1758191174;;;;;;
;suspect;suspect;131,114006;32,3;79,4;0,414414414;1758191175;;;;;;
;normal;early;131,8342686;30,1;79,5;0,414075286;1758191176;;;;;;
;stage 2 failure;early;105,1189899;40,5;79,5;0,413736713;1758191177;;;;;;
;early;normal;112,4038696;36,5;79,5;0,413398693;1758191178;;;;;;
;normal;normal;133,1322193;34,3;78,8;0,413877551;1758191179;;;;;;
;normal;normal;138,5610104;32,2;74,3;0,414355628;1758191180;;;;;;
;imminent failure;normal;122,303009;31,8;74,5;0,41401793;1758191181;;;;;;
;early;suspect;126,2419224;31,9;74,4;0,413680782;1758191182;;;;;;
;normal;normal;117,3980236;32,9;74,4;0,414157852;1758191183;;;;;;
;normal;normal;127,1569729;35,9;74,5;0,414634146;1758191184;;;;;;
;stage 2 failure;normal;104,2740345;33,4;74,5;0,414297319;1758191185;;;;;;
;early;normal;118,5610294;40,2;74,5;0,413961039;1758191186;;;;;;
;normal;normal;128,7941933;34,8;74,6;0,414436334;1758191187;;;;;;
;normal;normal;125,9379387;39,6;74,7;0,414910859;1758191188;;;;;;
;early;normal;110,216856;37,5;74,7;0,414574899;1758191189;;;;;;
;early;normal;109,4179153;42,8;76,1;0,414239482;1758191190;;;;;;
;normal;suspect;126,5211105;35,2;77,7;0,413904608;1758191191;;;;;;
;normal;normal;108,6778641;34,1;79;0,414378029;1758191192;;;;;;
;imminent failure;suspect;104,4230461;38,2;79,5;0,414043584;1758191193;;;;;;
;imminent failure;rolling element failure;140,034914;35,4;79,6;0,413709677;1758191194;;;;;;
;normal;normal;93,66989136;34,7;79,5;0,414182111;1758191195;;;;;;
;normal;normal;112,2310162;33,5;79,3;0,414653784;1758191196;;;;;;
;imminent failure;normal;123,2209206;32,9;79,5;0,414320193;1758191197;;;;;;
;early;rolling element failure;133,8028908;34;79,4;0,413987138;1758191198;;;;;;
;normal;suspect;155,3750038;33,4;79,5;0,413654618;1758191200;;;;;;
;normal;normal;102,9832363;37,3;79,5;0,414125201;1758191200;;;;;;
;early;normal;139,4057274;37,5;79,4;0,413793103;1758191202;;;;;;
;early;normal;125,7653236;41,9;79,2;0,413461538;1758191203;;;;;;
;normal;normal;145,9059715;33,1;79,3;0,413931145;1758191204;;;;;;
;normal;normal;99,77602959;50,2;79,3;0,4144;1758191205;;;;;;
;early;normal;133,9488029;36,3;79,2;0,414068745;1758191206;;;;;;
